epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
0.1016138,0.32929087,0.39285055,0.22501129,0.2520287,0.4864162
0.046129987,0.25262487,0.11334077,0.083858624,0.10459482,0.11133412
0.06293216,0.15290189,0.41658294,0.12284955,0.10783178,0.30393398
0.12261115,0.40831158,0.18697447,0.19288449,0.08266592,0.68430156
0.15892202,0.32291982,0.6659962,0.097582854,0.14865229,0.19249342
0.24213521,0.13902338,0.23173659,0.22563267,0.15477377,0.22649151
0.09148249,0.13587362,0.12858042,0.4878333,0.24969387,0.1506558
0.13231689,0.27853143,0.182782,0.20049387,0.17892198,0.23679556
0.17244768,0.11779176,0.11875154,0.11159735,0.15512432,0.076894544
0.24894327,0.2536085,0.17586364,0.2625003,0.1421559,0.21097775
0.24809735,0.12102442,0.30681148,0.29975736,0.20980416,0.17598541
0.06930938,0.13003147,0.24591433,0.1888115,0.118507184,0.21311383
0.12290796,0.1562192,0.35542485,0.24401122,0.16722123,0.18946417
0.14010885,0.1275126,0.12198636,0.13744783,0.3500798,0.10448365
0.10713021,0.39375803,0.21831162,0.24156873,0.24138361,0.20186214
0.2043139,0.17441148,0.14670417,0.25878552,0.17546065,0.14821097
0.10876155,0.23136194,0.3188898,0.2660307,0.11002937,0.28883615
0.25216118,0.21005172,0.21150659,0.27558434,0.21955453,0.19250289
0.10676703,0.12431795,0.15315595,0.111137666,0.22808,0.10738751
0.24416436,0.19919239,0.14256568,0.3495585,0.1099226,0.15581258
0.10461409,0.09213701,0.16878301,0.28704816,0.34835684,0.18885389
0.10678763,0.2629495,0.2331588,0.14646454,0.18776351,0.120712556
0.1330006,0.14057302,0.20469722,0.1463467,0.17510962,0.07754436
0.21344717,0.300691,0.10594984,0.24397956,0.10818898,0.09407076
0.08700428,0.14683488,0.15135887,0.21914369,0.105005294,0.13791822
0.21507175,0.13445476,0.27980074,0.10467874,0.2998796,0.1338749
0.09103545,0.23967507,0.16710806,0.117346354,0.13666731,0.12075681
0.1881625,0.12915997,0.13282354,0.10737075,0.13333821,0.12998874
0.10666318,0.10146466,0.11097839,0.10228287,0.71940404,0.17259187
0.08668142,0.15982053,0.1848089,0.1791748,0.19399792,0.12421923
0.22853038,0.19651434,0.10879983,0.17110305,0.090843216,0.16023335
0.63213503,0.21905084,0.3005774,0.10872343,0.27324197,0.13466458
0.20029591,0.25824806,0.18002939,0.27008587,0.2658935,0.14011215
0.124763116,0.15456648,0.18592536,0.26707408,0.15383972,0.1621753
0.11039349,0.69245964,0.21109721,0.12826663,0.14674737,0.113205165
0.12027272,0.23133472,0.4049212,0.100147024,0.2898575,0.12325668
0.2544762,0.102405,0.1794305,0.26291263,0.12429794,0.19045763
0.0997284,0.15483204,0.14920646,0.15225865,0.21480395,0.36810133
0.1269353,0.17285518,0.17097668,0.12966587,0.11159673,0.20450838
0.11793172,0.8938194,0.15415627,0.14645939,0.23785554,0.10565406
0.1070397,0.100013934,0.13648559,0.27568415,0.11770736,0.07732097
0.16358611,0.19551954,0.10117902,0.1428703,0.088200495,0.1573314
